x,y,potentiel
0.000258931,0.000740837,7.40666
0.000526493,0.000605797,6.0535
0.00909158,0.000441536,0.0181136
0.00104133,0.000449019,4.46752
0.00258665,0.000729091,4.37859
0.00184313,0.000249833,2.31499
0.00384883,0.000215166,0.266753
0.00277395,0.000554546,2.65964
0.00222057,0.000164501,1.31141
0.00246735,0.000731461,5.13294
0.0111113,0.0005,0.0150121
0.00287223,0.000200836,0.881972
0.0100005,0.000414444,0.0143652
0.00270152,0.00106471,4.87702
0.00233109,0.00107647,10
0.00197781,0.00109803,10
0.00329891,0.0011284,2.32081
0.00431614,0.00120721,0.918431
0.00566379,0.0013217,0.469644
0.00163041,0.00111866,10
0.000605233,0.00541359,4.47704
0.000410365,0.00362272,6.02293
0.00710031,0.00146374,0.349393
0.00927933,0.00171804,0.305289
0.00128847,0.00114116,10
0.00217829,0.00109122,10
0.00631239,0.010775,2.38129
0.000255498,0.00228005,8.0402
0.000876763,0.0078714,3.49945
0.000874324,0.00118543,10
0.0024942,0.00105023,7.01802
0.012978,0.0070971,1.32122
0.0111354,0.0018368,0.27334
0.0049157,0.00123487,0.610041
0.00363672,0.00119573,1.74506
0.00290691,0.00108854,3.67508
0.00051192,0.00118512,10
0.00181375,0.00111324,10
0.00907033,0.0106782,1.95326
0.00362302,0.0107478,2.82592
0.0130154,0.00440745,0.849058
0.000232965,0.00168232,9.18504
0.00238497,0.00107252,9.2199
0.0023538,0.00112656,10
0.00098816,0.0100572,3.1473
0.0120115,0.0108737,1.67725
0.00228851,0.00111847,10
0.00230448,0.00118735,10
0.000225607,0.00139681,9.72688
0.000448829,0.00155511,9.46557
0.000459535,0.00180059,8.93722
0.000670517,0.00167067,9.17558
0.000678842,0.00190662,8.6796
0.000880583,0.00178086,8.88496
0.000891943,0.00202304,8.375
0.00109436,0.00189439,8.56117
0.00110657,0.00213824,8.04278
0.00130893,0.00200933,8.19257
0.00132513,0.00225319,7.67147
0.00155288,0.00208723,7.82357
0.00156525,0.00239803,7.18139
0.00178935,0.00224116,7.22265
0.00181181,0.00254575,6.64506
0.00211473,0.00235639,6.5034
0.00209061,0.00270052,6.04408
0.00240904,0.00253647,5.72807
0.00240414,0.00289071,5.38268
0.00273758,0.00268725,4.9978
0.00273832,0.00308329,4.76414
0.00310097,0.0028658,4.31106
0.00312483,0.00330454,4.16415
0.00348741,0.00306982,3.7285
0.00353037,0.00354293,3.66103
0.00394578,0.00319427,3.19115
0.00398634,0.00380029,3.21766
0.00445073,0.0035076,2.7693
0.00449289,0.0041016,2.84176
0.00396849,0.00437477,3.23317
0.00452027,0.00473668,2.87235
0.00508566,0.00438956,2.50463
0.005111,0.00512693,2.5829
0.0057427,0.00470437,2.22655
0.00242606,0.00329891,5.02296
0.00449883,0.00545645,2.89111
0.00577395,0.00551756,2.33538
0.00647153,0.00504811,2.00037
0.00652205,0.00589308,2.1187
0.00729913,0.00537364,1.80095
0.00275395,0.00233451,5.1899
0.00179464,0.00198424,7.78719
0.00109114,0.00243054,7.49403
0.00557032,0.00401953,2.15342
0.00733544,0.00633987,1.94782
0.00817567,0.00577589,1.66096
0.00342001,0.00263311,3.80705
0.00720079,0.00451128,1.63468
0.00576735,0.00633538,2.40847
0.00308623,0.00385767,4.04595
0.00443366,0.00294109,2.59569
0.00179755,0.00285576,6.20789
0.0081969,0.00680293,1.81321
0.0012866,0.00178596,8.71576
0.00906783,0.00623418,1.56821
0.00902816,0.0051823,1.37525
0.00731485,0.00736701,2.06502
0.00925167,0.00729748,1.68851
0.00994071,0.00561345,1.32405
0.00987127,0.00459915,1.11673
0.00896919,0.00415097,1.1349
0.00977816,0.00359194,0.86843
0.0107119,0.00400433,0.88515
0.000873103,0.00155629,9.37141
0.00888132,0.00319146,0.86116
0.00491436,0.00320941,2.29605
0.00486359,0.00264257,2.04417
0.00535677,0.00283573,1.80735
0.00442473,0.00242859,2.31063
0.00477195,0.00212163,1.72578
0.00435831,0.00197415,1.98123
0.00404055,0.00219968,2.6024
0.00400748,0.00181856,2.25268
0.003713,0.00201755,2.97046
0.00371414,0.00163435,2.4906
0.003431,0.00184633,3.39687
0.00340489,0.00151521,2.99499
0.00317386,0.00168948,3.9388
0.00317026,0.00196568,4.15612
0.00293898,0.0018105,4.82108
0.00294707,0.00156837,4.65925
0.00274296,0.00167175,5.6094
0.0027619,0.00145845,5.49586
0.0023874,0.00119622,9.15847
0.00233776,0.00127001,10
0.00224044,0.00125303,10
0.00227569,0.00135041,9.3446
0.00217392,0.00132806,10
0.00220572,0.00144344,8.97536
0.0020774,0.00139773,9.48017
0.002121,0.00154786,8.63952
0.00198055,0.00151481,9.03463
0.00226527,0.0015708,8.09539
0.00216037,0.00170671,7.90544
0.00238376,0.00136626,8.49403
0.00193529,0.00137827,9.65666
